Paese,Superficie (km2 x 10e3),Cacciatori,Abitante/m,Abitante/km2,Rapporto cacciatore/abitante
France,643,1331000,64.1,100,2.083333333333333
Germany,358,351000,82.5,230,0.4291845493562232
Italy,301,750000,58.1,193,1.2987012987012987
Spain,505,980000,40.5,85,2.4390243902439024
United-Kingdom,245,800000,61.1,248,1.3157894736842104
Denmark,43,165000,5.5,126,3.0303030303030303
Finland,338,308000,5.2,15,5.88235294117647
Norway,324,190000,4.7,14,4.166666666666666
Sweden,450,290000,9,20,3.225806451612903
Estonia,45,16600,1.3,29,1.282051282051282
Latvia,65,25000,2.3,35,1.0869565217391304
Lithuania,65,32000,3.6,55,0.8928571428571428
Poland,313,106000,38.5,123,0.27548209366391185
Belgium,31,23000,10.4,341,0.22123893805309736
Ireland,70,350000,4.2,58,8.333333333333332
Luxembourg,3,2000,0.5,192,0.4
Netherlands,42,28170,16.7,395,0.16181229773462785
Austria,84,118000,8.3,98,1.4285714285714286
Czech-Republic,79,110000,10.2,129,1.0752688172043012
Hungary,93,55000,9.9,109,0.5263157894736842
Slovakia,49,55000,5.4,110,1.0204081632653061
Slovenia,20,22000,2,100,1.098901098901099
Switzerland,41,30000,7.6,185,0.3952569169960474
Cyprus,9,45000,0.8,89,5.88235294117647
Greece,132,235000,10.7,84,2.2222222222222223
Malta,.3,15000,0.4,1333,3.7037037037037033
Portugal,92,230000,10.7,116,2.1739130434782608
Albania,29,14000,3.6,124,0.38910505836575876
Bosnia-Herzegovina,51,50000,4.6,90,1.0869565217391304
Bulgaria,111,110000,7.7,69.5,1.4285714285714286
Croatia,57,55000,4.5,79,1.36986301369863
Moldova,34,14000,4.3,126,0.5
Montenegro,14,,0.7,50,
Romania,230,60000,22.2,94,0.2770083102493075
Serbia,77,80000,10.2,132,0.7936507936507936
Turkey,781,300000,73.2,94,0.4098360655737705
