ANNI,Vitelli (peso vivo),Buoi (peso vivo),Agnelli (peso vivo),Suini (peso vivo),Polli (peso vivo),Uova (a mille),Latte (a hl)
1861.0,0.036,0.025,0.031,0.055,0.049,0.026,0.005
1862.0,0.025,0.027,0.022,0.057,0.034,0.018,0.006
1863.0,0.038,0.027,0.032,0.057,0.051,0.027,0.005
1864.0,0.04,0.025,0.034,0.061,0.054,0.029,0.006
1865.0,0.041,0.025,0.036,0.061,0.056,0.03,0.005
1866.0,0.043,0.027,0.037,0.057,0.061,0.032,0.005
1867.0,0.045,0.027,0.039,0.062,0.065,0.034,0.005
1868.0,0.048,0.028,0.041,0.062,0.068,0.036,0.005
1869.0,0.05,0.028,0.043,0.061,0.072,0.038,0.005
1870.0,0.053,0.027,0.045,0.061,0.075,0.04,0.005
1871.0,0.055,0.029,0.047,0.061,0.079,0.041,0.006
1872.0,0.058,0.029,0.05,0.061,0.083,0.041,0.006
1873.0,0.063,0.039,0.054,0.062,0.09,0.042,0.006
1874.0,0.046,0.033,0.039,0.059,0.066,0.043,0.006
1875.0,0.042,0.031,0.036,0.053,0.06,0.041,0.007
1876.0,0.044,0.032,0.038,0.049,0.063,0.041,0.007
1877.0,0.045,0.035,0.039,0.049,0.065,0.04,0.007
1878.0,0.043,0.037,0.037,0.051,0.062,0.04,0.007
1879.0,0.045,0.037,0.039,0.044,0.065,0.04,0.007
1880.0,0.046,0.037,0.04,0.056,0.066,0.042,0.007
1881.0,0.045,0.033,0.038,0.049,0.064,0.036,0.007
1882.0,0.044,0.032,0.038,0.049,0.063,0.038,0.007
1883.0,0.045,0.035,0.039,0.046,0.065,0.041,0.007
1884.0,0.048,0.037,0.041,0.047,0.069,0.039,0.007
1885.0,0.045,0.033,0.039,0.042,0.065,0.038,0.007
1886.0,0.04,0.031,0.034,0.046,0.057,0.037,0.007
1887.0,0.036,0.031,0.031,0.045,0.052,0.035,0.006
1888.0,0.037,0.03,0.032,0.049,0.053,0.034,0.007
1889.0,0.042,0.033,0.036,0.051,0.06,0.033,0.007
1890.0,0.049,0.038,0.042,0.049,0.07,0.037,0.007
1891.0,0.044,0.037,0.038,0.047,0.063,0.036,0.006
1892.0,0.043,0.037,0.037,0.05,0.062,0.035,0.006
1893.0,0.04,0.034,0.034,0.052,0.057,0.035,0.006
1894.0,0.043,0.036,0.037,0.051,0.062,0.036,0.006
1895.0,0.046,0.038,0.039,0.046,0.066,0.037,0.006
1896.0,0.046,0.037,0.039,0.043,0.066,0.036,0.006
1897.0,0.044,0.034,0.038,0.046,0.063,0.035,0.006
1898.0,0.041,0.033,0.035,0.05,0.06,0.037,0.006
1899.0,0.042,0.033,0.037,0.048,0.06,0.037,0.006
1900.0,0.043,0.033,0.037,0.049,0.064,0.039,0.006
1901.0,0.042,0.034,0.037,0.05,0.066,0.04,0.006
1902.0,0.044,0.034,0.038,0.052,0.07,0.038,0.007
1903.0,0.047,0.035,0.04,0.055,0.069,0.039,0.007
1904.0,0.053,0.039,0.046,0.052,0.065,0.038,0.006
1905.0,0.051,0.039,0.044,0.05,0.073,0.041,0.006
1906.0,0.053,0.04,0.045,0.055,0.073,0.039,0.006
1907.0,0.048,0.039,0.041,0.065,0.07,0.042,0.007
1908.0,0.055,0.044,0.047,0.064,0.076,0.046,0.008
1909.0,0.054,0.045,0.047,0.066,0.077,0.045,0.008
1910.0,0.061,0.049,0.061,0.062,0.086,0.044,0.007
1911.0,0.072,0.052,0.062,0.066,0.097,0.046,0.008
1912.0,0.06,0.049,0.072,0.073,0.092,0.05,0.008
1913.0,0.061,0.046,0.069,0.069,0.094,0.047,0.008
1914.0,0.059,0.043,0.072,0.068,0.098,0.048,0.009
1915.0,0.078,0.062,0.081,0.074,0.116,0.05,0.008
1916.0,0.104,0.078,0.098,0.104,0.143,0.058,0.011
1917.0,0.126,0.114,0.122,0.187,0.215,0.092,0.016
1918.0,0.228,0.198,0.15,0.265,0.487,0.218,0.026
1919.0,0.255,0.179,0.184,0.344,0.516,0.191,0.032
1920.0,0.33,0.256,0.213,0.5,0.527,0.251,0.052
1921.0,0.368,0.275,0.26,0.381,0.679,0.313,0.065
1922.0,0.306,0.226,0.293,0.288,0.577,0.293,0.056
1923.0,0.327,0.235,0.347,0.38,0.647,0.273,0.055
1924.0,0.387,0.262,0.328,0.415,0.685,0.318,0.038
1925.0,0.378,0.27,0.378,0.403,0.708,0.351,0.05
1926.0,0.336,0.268,0.417,0.328,0.707,0.364,0.055
1927.0,0.271,0.222,0.373,0.328,0.602,0.279,0.045
1928.0,0.279,0.201,0.353,0.336,0.569,0.268,0.038
1929.0,0.315,0.219,0.35,0.334,0.6,0.286,0.042
1930.0,0.297,0.212,0.34,0.262,0.517,0.237,0.033
1931.0,0.186,0.153,0.255,0.173,0.442,0.194,0.027
1932.0,0.151,0.127,0.148,0.173,0.395,0.182,0.026
1933.0,0.151,0.107,0.149,0.194,0.374,0.179,0.025
1934.0,0.155,0.111,0.148,0.176,0.344,0.163,0.019
1935.0,0.153,0.116,0.134,0.17,0.379,0.175,0.022
1936.0,0.21,0.154,0.159,0.211,0.445,0.206,0.027
1937.0,0.29,0.2,0.206,0.289,0.478,0.216,0.035
1938.0,0.246,0.198,0.218,0.27,0.497,0.229,0.037
1939.0,0.273,0.208,0.239,0.294,0.537,0.275,0.038
1940.0,0.315,0.248,0.311,0.384,0.69,0.353,0.049
1941.0,0.36,0.262,0.346,0.457,1.195,0.547,0.063
1942.0,0.42,0.321,0.684,0.627,1.643,0.787,0.112
1943.0,0.762,0.593,0.85,1.962,3.306,0.831,0.144
1944.0,3.439,1.335,3.798,3.46,4.03,1.403,0.209
1945.0,7.246,6.635,8.334,9.942,11.604,4.415,0.814
1946.0,11.984,9.017,8.578,15.203,16.477,10.616,1.856
1947.0,23.592,43.569,15.978,28.629,35.168,16.95,2.4
1948.0,22.943,16.843,10.338,22.636,35.52,15.62,2.635
1949.0,22.415,14.333,13.075,14.862,30.589,14.444,2.558
1950.0,21.739,13.302,12.965,18.009,30.139,13.989,1.962
1951.0,26.307,16.022,16.351,21.332,34.432,15.123,1.995
1952.0,24.777,15.645,16.381,16.514,34.946,15.174,2.413
1953.0,21.479,14.267,16.503,15.247,35.477,15.247,2.468
1954.0,22.542,14.539,16.98,20.498,34.639,14.454,2.138
1955.0,23.742,15.018,19.121,19.091,33.959,14.527,1.993
1956.0,25.533,16.477,19.259,18.158,32.941,15.018,2.061
1957.0,27.469,17.177,21.658,17.222,33.411,14.205,2.228
1958.0,26.452,16.136,22.783,17.521,33.079,14.125,2.338
1959.0,26.899,16.211,23.029,17.789,32.472,13.693,2.413
1960.0,27.881,16.827,24.042,14.821,33.845,13.982,2.25
1961.0,27.716,16.424,24.129,17.99,35.881,13.896,2.258
1962.0,28.678,17.014,25.705,18.929,36.792,13.754,2.399
1963.0,30.38,18.647,30.647,20.741,39.273,14.241,2.739
1964.0,33.449,21.886,32.65,18.337,40.147,12.483,3.193
1965.0,34.808,22.877,35.703,18.613,39.399,14.25,3.352
1966.0,34.962,22.215,36.412,22.867,42.813,11.671,3.412
1967.0,35.204,22.289,37.28,21.715,44.401,11.737,3.147
1968.0,35.332,22.785,38.312,18.719,44.934,11.939,3.248
1969.0,36.241,24.074,39.292,25.4,20.89,12.4,3.73
1970.0,37.785,25.399,39.767,27.16,19.64,10.3,4.08
1971.0,38.812,25.972,42.97,23.16,20.5,12.4,4.44
1972.0,45.696,30.269,50.418,26.24,21.53,12.1,4.77
1973.0,50.014,35.395,57.089,33.77,24.29,16.4,4.82
1974.0,52.138,37.332,70.035,34.82,28.4,15.0,6.55
1975.0,68.435,48.515,79.923,40.39,34.43,17.5,7.44
1976.0,79.265,55.668,97.335,58.74,38.68,23.2,9.21
1977.0,87.221,60.63,119.777,53.09,45.4,25.0,11.91
1978.0,99.275,59.792,136.193,56.05,45.12,27.8,12.08
1979.0,103.796,68.652,153.468,66.66,48.01,29.0,13.54
1980.0,117.28,76.185,170.358,77.68,52.17,37.4,14.99
1981.0,139.368,85.941,213.595,78.69,68.5,45.3,16.87
1982.0,155.94,101.913,238.17,99.95,69.14,48.2,20.39
1983.0,161.439,102.848,259.543,96.93,82.2,56.4,22.89
1984.0,168.495,114.179,276.308,95.0,87.23,64.8,23.53
1985.0,182.528,116.0,289.788,116.12,96.86,54.5,25.37
1986.0,183.29,168.2,307.54,123.77,95.39,52.6,26.32
1987.0,191.15,170.53,326.21,101.13,85.71,58.4,26.85
1988.0,199.79,170.98,320.1,107.59,90.92,51.4,27.49
1989.0,235.09,191.49,316.38,136.89,84.0,60.5,30.06
1990.0,226.44,181.85,313.98,140.96,79.5,55.6,30.93
1991.0,221.39,181.4,299.14,140.06,88.55,58.5,30.67
1992.0,240.42,196.51,286.24,156.11,86.99,59.1,30.95
1993.0,280.64,208.36,325.25,135.04,98.19,63.0,31.77
1994.0,272.17,216.13,306.5,132.76,96.91,65.0,33.39
1995.0,302.93,227.02,305.62,163.55,86.56,65.7,34.91
1996.0,255.22,203.07,319.25,167.87,100.35,76.9,36.83
1997.0,249.47,197.72,326.37,171.38,94.83,73.2,37.05
1998.0,269.37,204.52,316.93,142.93,88.91,72.7,34.92
1999.0,266.33,216.57,312.47,125.47,84.75,69.3,34.13
2000.0,295.21,195.08,364.82,178.45,100.46,82.92,34.96
2001.0,275.74,188.39,439.71,223.59,94.74,78.49,36.45
2002.0,273.72,199.85,415.13,184.63,86.73,81.62,36.97
2003.0,299.79,193.01,468.16,178.61,102.25,88.29,36.28
2004.0,303.51,187.43,459.22,165.14,96.68,84.36,36.59
2005.0,282.78,210.23,441.5,172.47,91.03,82.75,36.18
2006.0,310.05,221.19,461.4,189.37,99.11,87.7,35.1
2007.0,288.88,206.78,459.11,166.72,120.54,101.15,36.41
2008.0,275.21,221.67,415.94,172.55,114.66,101.31,41.47
2009.0,284.68,220.18,434.51,183.85,110.17,108.49,37.07
